geo_id,geo_level,trial_count,site_count,trials_per_100k,coverage_residual,industry_pct,pop_total,median_hh_income,gini_index,pct_poverty,pct_nhblack,pct_hispanic,pct_no_vehicle,pct_no_internet,pct_unemployed,pct_uninsured,pct_bachelors_plus,places_access2,places_bphigh,places_chd,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_lpa,places_mhlth,places_obesity,places_stroke,endo_per_100k,amc_count,has_ctsa,trials_100k_phase_early_phase1,trials_100k_phase_phase1,trials_100k_phase_phase2,trials_100k_phase_phase3,trials_100k_phase_phase4,trials_100k_phase_unknown,trials_100k_sponsor_industry,trials_100k_sponsor_non_industry,trials_100k_status_active_not_recruiting,trials_100k_status_completed,trials_100k_status_enrolling_by_invitation,trials_100k_status_not_yet_recruiting,trials_100k_status_no_longer_available,trials_100k_status_recruiting,trials_100k_status_suspended,trials_100k_status_terminated,trials_100k_status_unknown,trials_100k_status_withdrawn
AK,state,8,9,1.0887005134583796,-7.660533593912456,87.5,734821,86370,0.4304,10.23745919074169,3.048361437683463,7.4698463979663074,3.9527037249977304,8.270796138832571,6.0131357060442,11.7,30.7,10.110819521096111,31.56013471972525,5.488177967696663,20.77844484395921,8.991942806852137,14.36250486199115,10.183473531947538,18.442494967727132,12.533191850137747,9.1433083766058,21.625233420386127,16.306691892260073,35.33643347631023,3.0105843530818297,1.769138334369867,0,0,,,,0.8165253850937847,0.1360875641822974,,0.9526129492760822,0.1360875641822974,,1.0887005134583796,,,,,,,,
AL,state,462,894,9.18837602812359,2.629765586991473,91.12554112554112,5028092,59609,0.4797,15.292023296312,26.220443062696543,4.62217079560199,1.86690117166283,13.23678969557458,5.118362396944078,9.5,27.2,10.320866757776242,39.61436675325094,6.047814476366317,24.086466331190348,12.746376131704624,20.033456698313664,14.774885006843274,21.84038022157929,15.14488049158946,10.30575684805115,27.764432068559454,18.176227062963154,39.62891451890423,3.511777697663029,2.167820318323531,0,1,,0.2386591176135997,1.909272940908798,5.469271445311661,0.6762008332385326,0.2187708578124664,8.372957376277125,0.8154186518464658,0.4574299754260661,7.259214827413659,0.0397765196022666,0.0596647794033999,0.0198882598011333,0.2784356372158664,,0.9745247302555324,0.0397765196022666,0.0596647794033999
AR,state,246,394,8.149286987079405,-0.1704579294495118,90.2439024390244,3018669,56335,0.4821,15.759561581610969,15.063857614067658,8.060539264159138,1.5902616212082676,14.270705491365494,5.125064867669954,8.8,24.7,11.719782958049622,37.96652174060295,6.380913872430067,25.33270065415702,11.515779061556463,19.317216327339292,12.23339079574146,23.427491782819192,15.56370241359048,10.23623548128718,31.12723468369993,19.508439946421102,39.557744894002184,3.440913559152695,2.3520299840757635,2,0,,0.1656359143715326,1.6894863265896327,4.604678419528607,0.76192520610905,0.3312718287430652,7.354234598096048,0.7950523889833566,0.3312718287430652,6.691690940609917,0.0331271828743065,0.0993815486229195,,0.1987630972458391,,0.695670840360437,0.066254365748613,0.0331271828743065
AZ,state,528,1160,7.361673732293292,0.323947972453924,89.39393939393939,7172282,72581,0.461,12.78360220638285,4.290489414666071,32.033221783527196,1.6144871959625224,8.315979929437603,5.331128958776858,10.8,31.8,13.549793119721768,29.337929111144927,5.21171328127271,20.08600903508877,9.85332301126308,16.715853725264218,11.79722923374445,18.73604904664766,13.112944354864911,9.19231735321828,21.23702201148708,16.165820108715167,31.715869917976303,2.867921519208113,2.83034046904458,0,1,,0.2788512777383823,1.6731076664302935,4.0851712188673,0.5855876832506028,0.362506661059897,6.580890154625822,0.7807835776674704,0.2788512777383823,5.66068093808916,0.0278851277738382,0.0278851277738382,,0.3485640971729778,0.0697128194345955,0.8644389609889851,0.0418276916607573,0.0418276916607573
CA,state,1349,6381,3.427676682630984,-4.174181227679027,80.80059303187547,39356104,91905,0.4895,11.90481659465073,5.3422716842093925,39.68362823718527,1.5375618568647134,6.428750699731492,6.356668578213071,7.1,35.9,10.747164107146624,28.46041676141476,4.971181047908872,20.441596795546353,10.707798483357736,18.33494241587778,15.916730739312976,21.643394969069636,15.619200555028314,9.507103560986074,24.177213668207933,16.89188126263044,27.85701696396051,2.8626495223188932,3.557262680269368,0,1,0.0127045095723906,0.3684307775993274,0.7953022992316516,1.2374192323508444,0.2210584665595964,0.1549950167831653,2.769583086781151,0.6580935958498331,0.1219632918949497,2.624751677655898,0.0152454114868687,0.0330317248882155,,0.2007312512437714,0.0050818038289562,0.3099900335663306,0.0584407440329967,0.0584407440329967
CO,state,458,685,7.936521689404744,-4.295160116580686,80.78602620087337,5770790,87598,0.456,9.359290495755348,3.8332879900325607,22.07257585183311,1.219730610997856,5.82929917069205,4.476271856387929,7.8,43.7,11.186209560263231,25.614063916090455,4.709072951189875,22.882415998023557,8.0165704109394,,,15.212720725141253,,,17.447444887609194,16.39654658898726,26.06240986882485,2.547651174391359,2.9805277960209953,0,1,0.0173286499768662,0.1559578497917962,1.4902638980104976,3.8296316448874417,0.6758173490977838,0.4332162494216563,6.411600491440513,1.52492119796423,0.3119156995835925,6.376943191486781,0.0519859499305987,0.0519859499305987,,0.3985589494679238,,0.5891740992134525,0.0866432498843312,0.069314599907465
CT,state,289,387,8.0026206505826,1.1064040411109328,83.39100346020761,3611317,90213,0.4992,9.849370742031232,9.857068764663971,17.37338483439698,1.7065456477375982,7.613169745929762,5.883884192066755,5.2,41.4,10.525918858126108,28.3389132019667,4.737383136559798,21.30057342468877,8.642542196607685,15.695919652821686,12.386277507696454,15.637789606072856,13.627302699546334,8.785772219515652,24.096786285627413,16.74859466724714,30.738517581775906,2.6930759556214348,7.338043157108612,0,1,,0.3876702045264927,1.4122271736322234,4.292062978686169,0.6091960356844885,0.4707423912107411,6.673465663634624,1.3291549869479748,0.4430516623159916,6.258104730213382,,0.0553814577894989,,0.3876702045264927,0.0276907288947494,0.7476496801582359,,0.0830721866842484
DC,state,125,136,18.640385214744693,6.408703408759264,70.4,670587,101722,0.5171,14.61987780854684,43.52604509183745,11.507529970011348,6.569343065693431,8.239150054625775,7.049609657546205,3.4,62.6,6.2,30.3,4.1,21.0,8.5,13.8,12.8,13.5,12.0,7.8,15.3,13.7,25.1,3.0,12.07896961915456,0,1,,0.4473692451538726,2.684215470923236,8.50001565792358,2.236846225769363,1.640353898897533,13.122831191180264,5.517554023564429,0.4473692451538726,14.315815844923923,0.1491230817179575,,,1.043861572025703,0.1491230817179575,1.7894769806154909,0.4473692451538726,0.2982461634359151
DE,state,63,69,6.340356368284128,-1.2615015420258828,95.23809523809524,993635,79325,0.4508,10.84804782440232,21.48837349731038,9.93282241466937,1.7223650385604112,7.451156812339332,5.401124715261959,6.0,34.5,9.484219564072044,32.98333707338966,5.24817550295627,22.060249868284973,10.766372177883582,14.931626729369524,12.446468573770172,17.646705660819173,13.029446601752298,8.311012839775987,25.962077780162744,16.78256971139774,35.491410228891446,2.971613948133549,4.83074770916886,0,0,,0.1006405772743512,1.207686927292215,3.4217796273279424,0.402562309097405,1.0064057727435125,6.038434636461075,0.3019217318230537,,5.434591172814967,,,,0.2012811545487025,,0.5032028863717563,0.1006405772743512,0.1006405772743512
FL,state,1056,5303,4.881086156301346,-1.524660904433377,90.43560606060606,21634529,67917,0.4858,12.598531726759571,14.943107843947054,26.52372510628727,2.002264695471004,8.162624240717088,5.003869820134975,12.3,32.3,16.547307807735244,31.416283878508704,5.621704308250361,17.96505343451738,11.100460227857743,,,19.055238582716083,,,24.908703692722543,17.26801602621366,32.174948588534555,3.014022465201779,3.31876880703065,1,1,0.0046222406783156,0.628624732250931,1.284982908571756,2.130852952703523,0.3466680508736751,0.1710229050976797,4.414239847791463,0.4668463085098825,0.1617784237410484,3.9381490579249494,0.0046222406783156,0.0369779254265253,0.0046222406783156,0.2264897932374677,0.013866722034947,0.4252461424050415,0.0231112033915783,0.0462224067831566
